Jomashop values	Normlised	Fix	Attribute			
Stainless Steel with a Silver Aluminim Top Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Silver Top-Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Silver and Rose Gold-tone Top Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Silver- tone Top Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a silver Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a silver-top Top Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with an inlaid  Blue and Silver Ring 	 Stainless Steel / Silver /  		 bezel.material			
Brushed Silver Stainless Steel 	 Stainless Steel / Silver /  		 case.material			
Brushed with Polished Stainless SteelSilver 	 Stainless Steel / Silver /  		 case.material			
Two Tone Stainless Steel (Silver and Gold-Tone) 	 Stainless Steel / Silver /  		 case.material			
Two-Tone Stainless Steel (Silver and Gold-Tone 	 Stainless Steel / Silver /  		 case.material			
Stainless Steel with Silver Glass Fiber Inlay 	 Stainless Steel / Silver / Fiber /  		 bezel.material			
Stainless Steel with a Silver Glass Fiber Ring 	 Stainless Steel / Silver / Fiber /  		 bezel.material			
Black Ion-plated Stainless Steel and Titanium 	 Stainless Steel / Titanium /  		 band.material			
Black Ion-plated Titanium Mesh 	 Stainless Steel / Titanium /  		 band.material			
Black Titanium Carbide-coated Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Black Titanium Mesh 	 Stainless Steel / Titanium /  		 band.material			
Gold tone stainless steel and Titanium Center 	 Stainless Steel / Titanium /  		 band.material			
Gunmetal Titanium Mesh 	 Stainless Steel / Titanium /  		 band.material			
Mesh Titanium 	 Stainless Steel / Titanium /  		 band.material			
Rose gold tone stainless steel and titanium center 	 Stainless Steel / Titanium /  		 band.material			
Silver-tone Stainless Steel with Textured Titanium 	 Stainless Steel / Titanium /  		 band.material			
Stainless Steel & Titanium 	 Stainless Steel / Titanium /  		 band.material			
Stainless Steel and Titanium 	 Stainless Steel / Titanium /  		 band.material			
Stainless Steel with Tappered Grey Titanium Links 	 Stainless Steel / Titanium /  		 band.material			
Stainless Steel with Titanium Center Links 	 Stainless Steel / Titanium /  		 band.material			
Stainless Steel with Titanium Center links 	 Stainless Steel / Titanium /  		 band.material			
Stainless Steel with Titanium inner links 	 Stainless Steel / Titanium /  		 band.material			
Stainless-steel and Titanium 	 Stainless Steel / Titanium /  		 band.material			
Titanium Carbide Coated Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Titanium Carbide-coated Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Titanium Mesh 	 Stainless Steel / Titanium /  		 band.material			
Titanium Plated Stainless Steel Mesh 	 Stainless Steel / Titanium /  		 band.material			
Titanium and Blue Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Titanium and Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Titanium with Gunmetal-plated Cable Wire Accents 	 Stainless Steel / Titanium /  		 band.material			
Titanium with Rose Gold-tone Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Titanium-plated and Stainless Steel 	 Stainless Steel / Titanium /  		 band.material			
Two-tone (Gunmetal and Gold-tone) Titanium 	 Stainless Steel / Titanium /  		 band.material			
Combination Stainless Steel and Titanium 	 Stainless Steel / Titanium /  		 bezel.material			
Fixed Titanium and Stainless Steel 	 Stainless Steel / Titanium /  		 bezel.material			
Microblasted Stainless Steel with Titanium 	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steel with Grey Titanium Ring 	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steel with Titanium Chain Link Trim 	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steel with Titanium Screws 	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steel with a  Black Titanium Carbide Coated Ring 	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steel with a Grey Titanium Top Ring 	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steel with a Navy Blue PVD TitaniumRing 	 Stainless Steel / Titanium /  		 bezel.material			
"Stainless Steel, Titanium "	 Stainless Steel / Titanium /  		 bezel.material			
Stainless Steeland Titanium 	 Stainless Steel / Titanium /  		 bezel.material			
Titanium Carbide Coated Stainless Steel 	 Stainless Steel / Titanium /  		 bezel.material			
Titanium Carbide with Stainless Steel 	 Stainless Steel / Titanium /  		 bezel.material			
stainless steel or titanium 	 Stainless Steel / Titanium /  		 bezel.material			
(Titanium Carbide Coated) Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Black Ion-plated Stainless Steel with Titanium Fra 	 Stainless Steel / Titanium /  		 case.material			
Black Titanium Carbide-Coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Black Titanium Carbide-coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Black Titanium Coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Black Titanium-coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Combination Stainless Steel and Titanium 	 Stainless Steel / Titanium /  		 case.material			
Grey Ion-plated Stainless Steel with Titanium Fini 	 Stainless Steel / Titanium /  		 case.material			
Grey PVD Stainless Steel with Titanium Finish 	 Stainless Steel / Titanium /  		 case.material			
Grey Titanium Carbide-coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Gunmetal Titanium 	 Stainless Steel / Titanium /  		 case.material			
Matte-Finish Titanium Coated  Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Matte-Finish Titanium Coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Rose gold-tone Titanium Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel & Titanium 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel Titanium 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel Titanium Sandblast 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel and Titanium 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel and Titanium PVD 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel coated with Black Titanium Carbide 	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel with Titanium PVD Coating 	 Stainless Steel / Titanium /  		 case.material			
"Stainless Steel, Titanium "	 Stainless Steel / Titanium /  		 case.material			
Stainless Steel/Titanium PVD Coating 	 Stainless Steel / Titanium /  		 case.material			
Titanium & Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium Carbide Coated Stainless Stee 	 Stainless Steel / Titanium /  		 case.material			
Titanium Carbide Coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium Carbide-coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium Grey Ion-plated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium PVD Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium and Black PVD Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium and Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium-coated Stainless Steel 	 Stainless Steel / Titanium /  		 case.material			
Titanium Carbon Coated Stainless Steel 	 Stainless Steel / Titanium / Carbon /  		 band.material			
Black Titanium Carbonide-Coated Stainless Steel 	 Stainless Steel / Titanium / Carbon /  		 case.material			
(Titanium Carbide Coated) Stainless Steel set with Diamonds 	 Stainless Steel / Titanium / Diamond /  		 bezel.material			
stainless steel or Diamond-Like Carbon (DLC) coated titanium 	 Stainless Steel / Titanium / Diamond / Carbon /  		 bezel.material			
"stainless steel, titanium or Diamond-like Carbon (DLC) coated steel "	 Stainless Steel / Titanium / Diamond / Carbon /  		 bezel.material			
Gold Plated Stainless steel & Titanium 	 Stainless Steel / Titanium / Gold-plated /  		 band.material			
Rose Gold Ion-plated Stainless Steel and Titanium 	 Stainless Steel / Titanium / Rose Gold-plated /  		 band.material			
Rose Gold Plated Stainless steel & Titanium 	 Stainless Steel / Titanium / Rose Gold-plated /  		 band.material			
316L Stainless Steel and Tungsten 	 Stainless Steel / Tungsten /  		 band.material			
Stainless Steel and Tungsten 	 Stainless Steel / Tungsten /  		 band.material			
Stainless Steel and Tungsten 	 Stainless Steel / Tungsten /  		 case.material			
18k White Gold Mesh 	 Stainless Steel / White Gold /  		 band.material			
18kt White Gold and Stainless Steel Rolex Oyster 	 Stainless Steel / White Gold /  		 band.material			
Stainless Steel Rolex Oyster with 18kt White Gold 	 Stainless Steel / White Gold /  		 band.material			
Stainless Steel and 18kt White Gold Jubilee 	 Stainless Steel / White Gold /  		 band.material			
Stainless Steel with 18kt White Gold Rolex Oyster 	 Stainless Steel / White Gold /  		 band.material			
White Gold Stainless Steel 	 Stainless Steel / White Gold /  		 band.material			
Stainless Steel and 18k White Gold 	 Stainless Steel / White Gold /  		 bezel.material			
Stainless Steel and 18kt White Gold Fluted Bezel 	 Stainless Steel / White Gold /  		 bezel.material			
18kt White Gold and Stainless Steel 	 Stainless Steel / White Gold /  		 case.material			
18kt white Gold and Stainless Steel 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel and 18 kt White Gold 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel and 18k White Gold 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel and 18kt White Gold 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel and 18ky White Gold 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel and White Gold 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel/ 18k White Gold 	 Stainless Steel / White Gold /  		 case.material			
Stainless Steel/18k White Gold 	 Stainless Steel / White Gold /  		 case.material			
White Gold-plated Stainless Steel 	 Stainless Steel / White Gold-plated /  		 case.material			
Rose gold-tone Stainless Steel and faux Burlwood A 	 Stainless Steel / Wood /  		 band.material			
Stainless Steel with Wood-Grain 	 Stainless Steel / Wood /  		 band.material			
Stainless steel with black wood links 	 Stainless Steel / Wood /  		 band.material			
Two-tone (Stainless Steel and Wood-tone Trim) 	 Stainless Steel / Wood /  		 band.material			
Yellow Gold-tone Stainless Steel and faux Burlwood 	 Stainless Steel / Wood /  		 band.material			
Stainless Steel and Wood 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Black Wood Inlay 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Blonde Wood-grain Ring 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Blue Wood Inlay 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Brown Wood 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Brown Wood Finish 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Gold-tone Wood  Top Ring 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Gold-tone Wood Top Ring 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Green Wood Inlay 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Silver-tone Wood Inlay 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Wood Finish Top Ring 	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel with a Woodgrain Inlay 	 Stainless Steel / Wood /  		 bezel.material			
"Stainless Steel, Wood "	 Stainless Steel / Wood /  		 bezel.material			
Stainless Steel and Wood 	 Stainless Steel / Wood /  		 case.material			
"Stainless Steel, Wood "	 Stainless Steel / Wood /  		 case.material			
Stainless Steel with a Silver Wood Inlay 	 Stainless Steel / Wood / Silver /  		 bezel.material			
18 kt Yellow Gold and Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
18K Yellow Gold and Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
18K Yellow Gold with Stainless Steel Rolex Oyster 	 Stainless Steel / Yellow Gold /  		 band.material			
"18k Yellow Gold, Stainless Steel "	 Stainless Steel / Yellow Gold /  		 band.material			
18k yellow gold and stainless 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold & Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold And Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold And Stainless Steel Jubilee 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold And Stainless Steel Oyster 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold Mesh 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold and Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold and Stainless Steel Jubilee 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold and Stainless Steel Oyster 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold and Stainless Steel President 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold and Stainless Steel Rolex Oyster 	 Stainless Steel / Yellow Gold /  		 band.material			
18kt Yellow Gold andStainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
316L Stainless Steel with 18k Yellow Gold 	 Stainless Steel / Yellow Gold /  		 band.material			
Brushed 18 Carat Yellow Gold and Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
Brushed 18kt Yellow Gold and Stainless Steel 	 Stainless Steel / Yellow Gold /  		 band.material			
